178.512999773
         10135199 function calls (10083810 primitive calls) in 123.086 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 Tkinter.py:2196(create_image)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2343(Checkbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2372(Entry)
        1    0.000    0.000    0.000    0.000 Tkinter.py:238(StringVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:241(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2437(Frame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2439(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2455(Label)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2457(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2477(Listbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2571(Menu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:260(IntVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2692(Menubutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2697(Message)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2702(Radiobutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2729(Scale)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2762(Scrollbar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2802(Text)
        1    0.000    0.000    0.000    0.000 Tkinter.py:285(DoubleVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:304(BooleanVar)
        1    0.007    0.007    0.020    0.020 Tkinter.py:31(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3129(_setit)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3140(OptionMenu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3177(Image)
        8    0.000    0.000    0.012    0.002 Tkinter.py:3180(__init__)
        8    0.000    0.000    0.000    0.000 Tkinter.py:3202(__str__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3237(PhotoImage)
        8    0.000    0.000    0.013    0.002 Tkinter.py:3239(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3297(BitmapImage)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3309(Spinbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:336(Misc)
       11    0.000    0.000    0.000    0.000 Tkinter.py:343(destroy)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3467(LabelFrame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3489(PanedWindow)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3686(Studbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3694(Tributton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:424(focus_set)
       31    0.001    0.000    0.001    0.000 Tkinter.py:74(_cnfmerge)
        1    0.000    0.000    0.000    0.000 Tkinter.py:839(winfo_toplevel)
       14    0.000    0.000    0.001    0.000 Tkinter.py:929(_bind)
        1    0.000    0.000    0.000    0.000 Tkinter.py:94(Event)
       14    0.000    0.000    0.001    0.000 Tkinter.py:946(bind)
       65    0.000    0.000    0.001    0.000 UserDict.py:17(__len__)
        2    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
       11    0.028    0.003    0.231    0.021 __init__.py:1(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:10(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        1    0.008    0.008    0.235    0.235 __init__.py:106(<module>)
       43    0.000    0.000    0.000    0.000 __init__.py:11(<lambda>)
       30    0.000    0.000    0.000    0.000 __init__.py:12(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:12(register)
        1    0.000    0.000    0.038    0.038 __init__.py:14(pylab_setup)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
      218    0.002    0.000    0.003    0.000 __init__.py:15(<lambda>)
        1    0.002    0.002    0.023    0.023 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        4    0.000    0.000    0.008    0.002 __init__.py:168(_is_writable_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.003    0.003    0.003    0.003 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
      938    0.005    0.000    0.008    0.000 __init__.py:18(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:182(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:198(__init__)
        6    0.027    0.005    0.123    0.021 __init__.py:2(<module>)
      101    0.001    0.000    0.001    0.000 __init__.py:20(<lambda>)
        1    0.001    0.001    0.003    0.003 __init__.py:20(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:20(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        2    0.000    0.000    0.000    0.000 __init__.py:202(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:211(set_fileo)
        1    0.000    0.000    0.000    0.000 __init__.py:215(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:219(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
      172    0.001    0.000    0.002    0.000 __init__.py:226(report)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        3    0.000    0.000    0.000    0.000 __init__.py:237(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
     16/8    0.000    0.000    0.012    0.001 __init__.py:247(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
      172    0.001    0.000    0.001    0.000 __init__.py:258(ge)
        1    0.000    0.000    0.000    0.000 __init__.py:26(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:275(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:278(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:283(create_unicode_buffer)
        1    0.002    0.002    0.008    0.008 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:320(CDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:345(checkdep_ps_distiller)
        2    0.000    0.000    0.000    0.000 __init__.py:347(_FuncPtr)
        4    0.000    0.000    0.000    0.000 __init__.py:363(__getattr__)
        4    0.000    0.000    0.000    0.000 __init__.py:370(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:376(PyDLL)
        1    0.003    0.003    0.016    0.016 __init__.py:38(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:381(checkdep_usetex)
        1    0.000    0.000    0.000    0.000 __init__.py:385(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:394(HRESULT)
        1    0.008    0.008    0.010    0.010 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:407(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:416(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__getattr__)
       10    0.000    0.000    0.002    0.000 __init__.py:422(_get_home)
        1    0.001    0.001    0.003    0.003 __init__.py:44(<module>)
        4    0.000    0.000    0.011    0.003 __init__.py:449(_get_configdir)
        1    0.004    0.004    0.031    0.031 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:479(_get_data_path)
        6    0.000    0.000    0.000    0.000 __init__.py:48(get_projection_class)
        3    0.000    0.000    0.000    0.000 __init__.py:483(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:484(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
       20    0.000    0.000    0.000    0.000 __init__.py:5(<lambda>)
        6    0.029    0.005    1.252    0.209 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(ProjectionRegistry)
        2    0.000    0.000    0.000    0.000 __init__.py:518(_get_data_path_cached)
        1    0.001    0.001    0.012    0.012 __init__.py:52(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:551(matplotlib_fname)
        3    0.004    0.001    0.040    0.013 __init__.py:6(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:62(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:624(RcParams)
        3    0.000    0.000    0.000    0.000 __init__.py:638(__setitem__)
     7600    0.043    0.000    0.043    0.000 __init__.py:654(__getitem__)
        1    0.005    0.005    0.013    0.013 __init__.py:679(rc_params)
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        1    0.003    0.003    0.539    0.539 __init__.py:74(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
       21    0.000    0.000    0.000    0.000 __init__.py:8(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:80(get_projection_names)
        1    0.012    0.012    0.012    0.012 __init__.py:84(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:921(get_backend)
        9    0.000    0.000    0.000    0.000 __init__.py:933(is_interactive)
        1    0.009    0.009    0.358    0.358 __init__.py:99(<module>)
      306    0.027    0.000    0.054    0.000 _abcoll.py:365(keys)
       14    0.002    0.000    0.007    0.000 _abcoll.py:483(update)
        4    0.000    0.000    0.000    0.000 _abcoll.py:97(__subclasshook__)
        1    0.002    0.002    0.002    0.002 _cm.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:148(DataSource)
        1    0.001    0.001    0.008    0.008 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:47(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:482(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:70(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:22(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:45(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:105(SAXNotRecognizedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:115(SAXNotSupportedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:125(SAXReaderNotAvailable)
        1    0.000    0.000    0.000    0.000 _exceptions.py:46(SAXParseException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:9(SAXException)
        1    0.002    0.002    0.002    0.002 _import_tools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _import_tools.py:102(_get_sorted_names)
        1    0.001    0.001    0.517    0.517 _import_tools.py:128(__call__)
       12    0.001    0.000    0.007    0.001 _import_tools.py:239(_execcmd)
       13    0.000    0.000    0.000    0.000 _import_tools.py:261(log)
     37/6    0.003    0.000    0.497    0.083 _import_tools.py:29(_get_info_files)
        1    0.000    0.000    0.000    0.000 _import_tools.py:334(PackageLoaderDebug)
     26/1    0.002    0.000    0.508    0.508 _import_tools.py:49(_init_info_modules)
